number,code,Type
15,"def var0(var1):
    var2 = len(var1)
    if var2 < 3:
        return (var1[-1], [1, var2])
    var3 = [0] * var2
    var4 = [0] * var2
    var3[0] = var1[0]
    var3[1] = var1[1]
    for var5 in range(2, var2):
        if var3[var5 - 1] < var3[var5 - 2]:
            var3[var5] = var1[var5] + var3[var5 - 1]
            var4[var5] = var5 - 1
        else:
            var3[var5] = var1[var5] + var3[var5 - 2]
            var4[var5] = var5 - 2
    var6 = [var2]
    var7 = var2 - 1
    while var7 != 0:
        var6.insert(0, var7 + 1)
        var7 = var4[var7]
    return (var3[var2 - 1], var6)",Grasshopper
16,"def var0(var1):
    var2 = len(var1)
    if var2 < 3:
        return (var1[-1], [1, var2])
    def var3(var4):
        if var4 == var2 - 1:
            yield (var1[var4], [var4 + 1])
        else:
            if var4 + 1 < var2:
                for var5, var6 in var3(var4 + 1):
                    yield (var1[var4] + var5, [var4 + 1] + var6)
            if var4 + 2 < var2:
                for var7, var8 in var3(var4 + 2):
                    yield (var1[var4] + var7, [var4 + 1] + var8)
    var9 = float('inf')
    var10 = []
    for var11, var12 in var3(0):
        if var11 < var9:
            var9 = var11
            var10 = var12
    return (var9, var10)",Grasshopper
17,"from functools import reduce
def var0(var1):
    var2 = len(var1)
    if var2 < 3:
        return (var1[-1], [1, var2])
    var3 = [0] * var2
    var3[0] = var1[0]
    var3[1] = var1[1]
    var3 = reduce(lambda var4, var5: var4 + [var1[var5] + min(var4[var5 - 1], var4[var5 - 2])], range(2, var2), var3)
    var6 = [var2]
    var7 = var2 - 1
    while var7 != 0:
        var6.insert(0, var7 + 1)
        if var7 == 1:
            break
        if var1[var7 - 1] <= var1[var7 - 2]:
            var7 -= 1
        else:
            var7 -= 2
    return (var3[var2 - 1], var6)",Grasshopper
18,"import numpy as np
def var0(var1):
    var1 = np.array(var1)
    var2 = len(var1)
    if var2 < 3:
        return (var1[-1], [1, var2])
    var3 = np.zeros(var2, dtype=int)
    var3[0] = var1[0]
    var3[1] = var1[1]
    for var4 in range(2, var2):
        var3[var4] = var1[var4] + np.min([var3[var4 - 1], var3[var4 - 2]])
    var5 = [var2]
    var6 = var2 - 1
    while var6 != 0:
        var5.insert(0, var6 + 1)
        if var6 == 1:
            break
        if var3[var6 - 1] <= var3[var6 - 2]:
            var6 -= 1
        else:
            var6 -= 2
    return (var3[var2 - 1], var5)",Grasshopper
19,"def var0(var1):
    var2 = len(var1)
    if var2 < 3:
        return (var1[-1], [1, var2])
    var3 = [0] * var2
    var4 = [0] * var2
    var3[0] = var1[0]
    var3[1] = var1[1]
    for var5 in range(2, var2):
        if var3[var5 - 1] < var3[var5 - 2]:
            var3[var5] = var1[var5] + var3[var5 - 1]
            var4[var5] = var5 - 1
        else:
            var3[var5] = var1[var5] + var3[var5 - 2]
            var4[var5] = var5 - 2
    var6 = [var2]
    var7 = var2 - 1
    while var7 != 0:
        var6.insert(0, var7 + 1)
        var7 = var4[var7]
    return (var3[var2 - 1], var6)",Grasshopper
20,"import multiprocessing
def var0(var1):
    var2 = len(var1)
    if var2 < 3:
        return (var1[-1], [1, var2])
    def var3(var4):
        if var4 == var2 - 1:
            return (var1[var4], [var4 + 1])
        else:
            var5, var6 = var3(var4 + 1)
            var7, var8 = var3(var4 + 2)
            if var5 < var7:
                return (var1[var4] + var5, [var4 + 1] + var6)
            else:
                return (var1[var4] + var7, [var4 + 1] + var8)
    with multiprocessing.Pool(processes=2) as var9:
        var10 = var9.apply_async(var3, (0,))
        var11, var12 = var10.get()
    return (var11, var12)",Grasshopper
21,"def var0(var1):
    var2 = len(var1)
    var3 = {}
    def var4(var5):
        if var5 >= var2:
            return (0, [])
        if var5 in var3:
            return var3[var5]
        var6, var7 = var4(var5 + 1)
        var8, var9 = var4(var5 + 2)
        if var6 + var1[var5] < var8 + var1[var5]:
            var3[var5] = (var6 + var1[var5], [var5 + 1] + var7)
        else:
            var3[var5] = (var8 + var1[var5], [var5 + 2] + var9)
        return var3[var5]
    if var2 < 3:
        return (sum(var1), list(range(1, var2 + 1)))
    return var4(0)",Grasshopper
22,"def var0(var1):
    var2 = len(var1)
    var3 = [0] * var2
    var4 = [[] for var5 in range(var2)]
    var3[var2 - 1] = var1[var2 - 1]
    var4[var2 - 1] = [var2]
    if var2 > 1:
        var3[var2 - 2] = var1[var2 - 2] + var1[var2 - 1]
        var4[var2 - 2] = [var2 - 1, var2]
    for var6 in range(var2 - 3, -1, -1):
        if var3[var6 + 1] + var1[var6] < var3[var6 + 2] + var1[var6]:
            var3[var6] = var3[var6 + 1] + var1[var6]
            var4[var6] = [var6 + 1] + var4[var6 + 1]
        else:
            var3[var6] = var3[var6 + 2] + var1[var6]
            var4[var6] = [var6 + 2] + var4[var6 + 2]
    return (var3[0], var4[0])",Grasshopper
23,"def var0(var1):
    var2 = len(var1)
    if var2 < 3:
        return (sum(var1), list(range(1, var2 + 1)))
    var3 = [0, 0]
    var4 = [[], []]
    var3[0] = var1[var2 - 1]
    var4[0] = [var2]
    var3[1] = var1[var2 - 2] + var1[var2 - 1]
    var4[1] = [var2 - 1, var2]
    for var5 in range(var2 - 3, -1, -1):
        if var3[0] + var1[var5] < var3[1] + var1[var5]:
            var3[1] = var3[0] + var1[var5]
            var4[1] = [var5 + 1] + var4[0]
        else:
            var3[0] = var3[1] + var1[var5]
            var4[0] = [var5 + 2] + var4[1]
    return (var3[0], var4[0])",Grasshopper
24,"def var0(var1):
    var2 = len(var1)
    if var2 < 3:
        return (sum(var1), list(range(1, var2 + 1)))
    var3 = var1[:]
    var3[var2 - 1] = var1[var2 - 1]
    if var2 > 1:
        var3[var2 - 2] = var1[var2 - 2] + var1[var2 - 1]
    for var4 in range(var2 - 3, -1, -1):
        var3[var4] = var1[var4] + min(var3[var4 + 1], var3[var4 + 2])
    var5 = []
    var6 = 0
    while var6 < var2 - 1:
        if var3[var6 + 1] < var3[var6 + 2]:
            var5.append(var6 + 1)
            var6 += 1
        else:
            var5.append(var6 + 2)
            var6 += 2
    var5.append(var2)
    return (var3[0], [var7 + 1 for var7 in var5])",Grasshopper
25,"def var0(var1):
    var2 = len(var1)
    var3 = [0] * var2
    var4 = [0] * var2
    var3[var2 - 1] = var1[var2 - 1]
    if var2 > 1:
        var3[var2 - 2] = var1[var2 - 2] + var1[var2 - 1]
        var4[var2 - 2] = var2 - 1
    for var5 in range(var2 - 3, -1, -1):
        if var3[var5 + 1] + var1[var5] < var3[var5 + 2] + var1[var5]:
            var3[var5] = var3[var5 + 1] + var1[var5]
            var4[var5] = var5 + 1
        else:
            var3[var5] = var3[var5 + 2] + var1[var5]
            var4[var5] = var5 + 2
    var6 = []
    var7 = 0
    while var7 < var2:
        var6.append(var7 + 1)
        var7 = var4[var7]
    return (var3[0], var6)",Grasshopper
26,"def var0(var1):
    var2 = len(var1)
    def var3(var4):
        if var4 >= var2:
            yield []
        else:
            for var5 in [var4 + 1, var4 + 2]:
                for var6 in var3(var5):
                    yield ([var4 + 1] + var6)
    var7 = float('inf')
    var8 = []
    for var9 in var3(0):
        var10 = sum((var1[var11 - 1] for var11 in var9))
        if var10 < var7:
            var7 = var10
            var8 = var9
    return (var7, var8)",Grasshopper
27,"from functools import reduce
def var0(var1):
    var2 = len(var1)
    if var2 < 3:
        return (sum(var1), list(range(1, var2 + 1)))
    var3 = reduce(lambda var4, var5: [var1[var5] + min(var4[0], var4[1])] + var4, range(var2 - 2, -1, -1), [var1[var2 - 1], var1[var2 - 2] + var1[var2 - 1]])
    var6 = []
    var7 = 0
    while var7 < var2 - 1:
        if var3[0] < var3[1]:
            var6.append(var7 + 1)
            var7 += 1
        else:
            var6.append(var7 + 2)
            var7 += 2
    var6.append(var2)
    return (var3[0], [var8 + 1 for var8 in var6])",Grasshopper
28,"import numpy as np
def var0(var1):
    var2 = len(var1)
    var1 = np.array(var1)
    if var2 < 3:
        return (np.sum(var1), list(range(1, var2 + 1)))
    var3 = np.zeros(var2)
    var3[var2 - 1] = var1[var2 - 1]
    if var2 > 1:
        var3[var2 - 2] = var1[var2 - 2] + var1[var2 - 1]
    for var4 in range(var2 - 3, -1, -1):
        var3[var4] = var1[var4] + np.min([var3[var4 + 1], var3[var4 + 2]])
    var5 = []
    var6 = 0
    while var6 < var2 - 1:
        if var3[var6 + 1] < var3[var6 + 2]:
            var5.append(var6 + 1)
            var6 += 1
        else:
            var5.append(var6 + 2)
            var6 += 2
    var5.append(var2)
    return (var3[0], [var7 + 1 for var7 in var5])",Grasshopper
29,"def var0(var1):
    var2 = len(var1)
    if var2 < 3:
        return (sum(var1), list(range(1, var2 + 1)))
    var3 = [0] * var2
    var3[var2 - 1] = var1[var2 - 1]
    if var2 > 1:
        var3[var2 - 2] = var1[var2 - 2] + var1[var2 - 1]
    for var4 in range(var2 - 3, -1, -1):
        if var3[var4 + 2] > var3[var4 + 1] + var1[var4]:
            var3[var4] = var3[var4 + 1] + var1[var4]
        else:
            var3[var4] = var3[var4 + 2] + var1[var4]
    var5 = []
    var6 = 0
    while var6 < var2 - 1:
        if var3[var6 + 1] < var3[var6 + 2]:
            var5.append(var6 + 1)
            var6 += 1
        else:
            var5.append(var6 + 2)
            var6 += 2
    var5.append(var2)
    return (var3[0], [var7 + 1 for var7 in var5])",Grasshopper
30,"import multiprocessing
def var0(var1):
    var2 = len(var1)
    if var2 < 3:
        return (sum(var1), list(range(1, var2 + 1)))
    var3 = [0] * var2
    var3[var2 - 1] = var1[var2 - 1]
    if var2 > 1:
        var3[var2 - 2] = var1[var2 - 2] + var1[var2 - 1]
    with multiprocessing.Pool(processes=2) as var4:
        var5 = var4.starmap(lambda var6: (var6, var1[var6] + min(var3[var6 + 1], var3[var6 + 2])), [(var6,) for var6 in range(var2 - 3, -1, -1)])
    for var6, var7 in var5:
        var3[var6] = var7
    var8 = []
    var9 = 0
    while var9 < var2 - 1:
        if var3[var9 + 1] < var3[var9 + 2]:
            var8.append(var9 + 1)
            var9 += 1
        else:
            var8.append(var9 + 2)
            var9 += 2
    var8.append(var2)
    return (var3[0], [var10 + 1 for var10 in var8])",Grasshopper
31,"def var0(var1):
    var2 = len(var1)
    var3 = {}
    var4 = {}
    def var5(var6):
        if var6 >= var2:
            return (0, [])
        if var6 in var3:
            return var3[var6]
        var7, var8 = var5(var6 + 1)
        var9, var10 = var5(var6 + 2)
        if var7 + var1[var6] < var9 + var1[var6]:
            var3[var6] = (var7 + var1[var6], [var6 + 1] + var8)
        else:
            var3[var6] = (var9 + var1[var6], [var6 + 2] + var10)
        return var3[var6]
    var11, var12 = var5(0)
    return (var11, [var13 + 1 for var13 in var12])",Grasshopper
32,"def var0(var1):
    var2 = len(var1)
    var3 = [0] * var2
    var4 = [[] for var5 in range(var2)]
    var3[0] = var1[0]
    var4[0] = [1]
    if var2 > 1:
        var3[1] = var1[1]
        var4[1] = [2]
        for var6 in range(2, var2):
            if var3[var6 - 1] + var1[var6] < var3[var6 - 2] + var1[var6]:
                var3[var6] = var3[var6 - 1] + var1[var6]
                var4[var6] = [var6 + 1] + var4[var6 - 1]
            else:
                var3[var6] = var3[var6 - 2] + var1[var6]
                var4[var6] = [var6 + 1] + var4[var6 - 2]
    return (var3[var2 - 1], var4[var2 - 1])",Grasshopper
33,"def var0(var1):
    var2 = len(var1)
    if var2 < 3:
        return (var1[-1] if var2 > 0 else 0, [])
    var3 = var1[0]
    var4 = var1[1]
    var5 = [1]
    var6 = [2]
    for var7 in range(2, var2):
        if var4 + var1[var7] < var3 + var1[var7]:
            var8 = var4 + var1[var7]
            var9 = [var7 + 1] + var6
        else:
            var8 = var3 + var1[var7]
            var9 = [var7 + 1] + var5
        var3 = var4
        var4 = var8
        var5 = var6
        var6 = var9
    return (var4, [var10 + 1 for var10 in var6])",Grasshopper
34,"def var0(var1):
    var2 = len(var1)
    if var2 < 3:
        return (var1[-1] if var2 > 0 else 0, [])
    var1 = var1[:]
    for var3 in range(2, var2):
        var1[var3] += min(var1[var3 - 1], var1[var3 - 2])
    var4 = []
    var5 = var2 - 1
    while var5 > 0:
        var4.append(var5 + 1)
        if var5 >= 2 and var1[var5] == var1[var5 - 2] + var1[var5]:
            var5 -= 2
        else:
            var5 -= 1
    var4.append(1)
    return (var1[var2 - 1], var4[::-1])",Grasshopper
35,"def var0(var1):
    var2 = len(var1)
    var3 = [float('inf')] * var2
    var4 = [None] * var2
    var3[0] = var1[0]
    var3[1] = var1[1]
    var4[1] = 0
    for var5 in range(2, var2):
        if var3[var5 - 1] + var1[var5] < var3[var5 - 2] + var1[var5]:
            var3[var5] = var3[var5 - 1] + var1[var5]
            var4[var5] = var5 - 1
        else:
            var3[var5] = var3[var5 - 2] + var1[var5]
            var4[var5] = var5 - 2
    var6 = []
    var7 = var2 - 1
    while var7 is not None:
        var6.append(var7 + 1)
        var7 = var4[var7]
    return (var3[var2 - 1], var6[::-1])",Grasshopper
36,"def var0(var1):
    var2 = len(var1)
    var3 = [0] * var2
    var4 = [[] for var5 in range(var2)]
    var3[0] = var1[0]
    var4[0] = [1]
    if var2 > 1:
        var3[1] = var1[1]
        var4[1] = [2]
        for var6 in range(2, var2):
            def var7(var8):
                if var8 == var6 - 1:
                    yield ([var6 + 1] + var4[var6 - 1])
                else:
                    yield ([var6 + 1] + var4[var6 - 2])
            if var3[var6 - 1] + var1[var6] < var3[var6 - 2] + var1[var6]:
                var3[var6] = var3[var6 - 1] + var1[var6]
                var4[var6] = next(var7(var6 - 1))
            else:
                var3[var6] = var3[var6 - 2] + var1[var6]
                var4[var6] = next(var7(var6 - 2))
    return (var3[var2 - 1], var4[var2 - 1])",Grasshopper
37,"from functools import reduce
def var0(var1):
    var2 = len(var1)
    var3 = reduce(lambda var4, var5: var4 + [min(var4[-1] + var1[var5], (var4[-2] if var5 > 1 else float('inf')) + var1[var5])], range(var2), [0, var1[0]] if var2 > 0 else [])
    var6 = []
    var7 = var2 - 1
    while var7 > 0:
        var6.append(var7 + 1)
        if var7 > 1 and var3[var7] == var3[var7 - 1] + var1[var7]:
            var7 -= 1
        else:
            var7 -= 2
    var6.append(1)
    return (var3[var2 - 1], var6[::-1])",Grasshopper
38,"import numpy as np
def var0(var1):
    var2 = len(var1)
    var3 = np.zeros(var2)
    if var2 > 0:
        var3[0] = var1[0]
        if var2 > 1:
            var3[1] = var1[1]
            for var4 in range(2, var2):
                var3[var4] = var1[var4] + min(var3[var4 - 1], var3[var4 - 2])
    var5 = []
    var6 = var2 - 1
    while var6 > 0:
        var5.append(var6 + 1)
        if var3[var6] == var3[var6 - 1] + var1[var6]:
            var6 -= 1
        else:
            var6 -= 2
    var5.append(1)
    return (var3[var2 - 1], var5[::-1])",Grasshopper
39,"def var0(var1):
    var2 = len(var1)
    if var2 < 3:
        return (var1[-1] if var2 > 0 else 0, [])
    var3 = [0] * var2
    var3[0] = var1[0]
    var3[1] = var1[1]
    for var4 in range(2, var2):
        var3[var4] = var1[var4] + min(var3[var4 - 1], var3[var4 - 2])
        if var3[var4] > 1000000.0:
            break
    var5 = []
    var6 = var2 - 1
    while var6 > 0:
        var5.append(var6 + 1)
        if var3[var6] == var3[var6 - 1] + var1[var6]:
            var6 -= 1
        else:
            var6 -= 2
    var5.append(1)
    return (var3[var2 - 1], var5[::-1])",Grasshopper
40,"from multiprocessing import Pool
def var0(var1):
    var2 = len(var1)
    if var2 < 3:
        return (var1[-1] if var2 > 0 else 0, [])
    var3 = [0] * var2
    var3[0] = var1[0]
    var3[1] = var1[1]
    with Pool(processes=2) as var4:
        for var5 in range(2, var2):
            var6 = var4.starmap(var7, [(var3, var1, var5)])
            var3[var5] = var6[0]
    var8 = []
    var9 = var2 - 1
    while var9 > 0:
        var8.append(var9 + 1)
        if var3[var9] == var3[var9 - 1] + var1[var9]:
            var9 -= 1
        else:
            var9 -= 2
    var8.append(1)
    return (var3[var2 - 1], var8[::-1])
def var7(var3, var1, var5):
    return var1[var5] + min(var3[var5 - 1], var3[var5 - 2])",Grasshopper
41,"def var0(var1):
    var2 = len(var1)
    if var2 < 3:
        return (0, [1]) if var2 else (0, [])
    var3 = {}
    var4 = []
    def var5(var6):
        if var6 == var2:
            return (0, [])
        if var6 in var3:
            return var3[var6]
        var7, var8 = var5(var6 + 1)
        var9, var10 = var5(var6 + 2)
        if var7 < var9:
            var11 = var1[var6] + var7
            var12 = [var6 + 1] + var8
        else:
            var11 = var1[var6] + var9
            var12 = [var6 + 2] + var10
        var3[var6] = (var11, var12)
        return (var11, var12)
    var13, var4 = var5(0)
    return (var13, var4)",Grasshopper
42,"def var0(var1):
    var2 = len(var1)
    if var2 < 3:
        return (0, [1]) if var2 else (0, [])
    var3 = [0] * var2
    var4 = [None] * var2
    var3[0] = var1[0]
    var3[1] = var1[1]
    var4[1] = 0
    for var5 in range(2, var2):
        if var3[var5 - 1] < var3[var5 - 2]:
            var3[var5] = var1[var5] + var3[var5 - 1]
            var4[var5] = var5 - 1
        else:
            var3[var5] = var1[var5] + var3[var5 - 2]
            var4[var5] = var5 - 2
    var6 = []
    var7 = var2 - 1
    while var7 is not None:
        var6.insert(0, var7 + 1)
        var7 = var4[var7]
    return (var3[var2 - 1], var6)",Grasshopper
43,"def var0(var1):
    var2 = len(var1)
    if var2 < 3:
        return (0, [1]) if var2 else (0, [])
    var3 = 0
    var4 = var1[0]
    var5 = var1[1]
    for var6 in range(2, var2):
        var7 = var1[var6] + min(var3, var4)
        var3 = var4
        var4 = var5
        var5 = var7
    var8 = []
    var9 = var2 - 1
    if var5 <= var3 + var1[var2 - 1]:
        var8.append(var9 + 1)
        var9 -= 2
    else:
        var8.append(var9 + 1)
        var9 -= 1
    while var9 >= 0:
        var8.append(var9 + 1)
        if var9 - 2 >= 0:
            var9 -= 2
        else:
            var9 -= 1
    return (var5, var8[::-1])",Grasshopper
44,"def var0(var1):
    var2 = len(var1)
    if var2 < 3:
        return (0, [1]) if var2 else (0, [])
    for var3 in range(2, var2):
        var1[var3] += min(var1[var3 - 1], var1[var3 - 2])
    var4 = [var2]
    var5 = var2 - 1
    while var5 > 0:
        if var5 - 2 >= 0 and var1[var5 - 2] <= var1[var5 - 1]:
            var5 -= 2
        else:
            var5 -= 1
        var4.append(var5 + 1)
    return (var1[var2 - 1], var4[::-1])",Grasshopper
45,"def var0(var1):
    var2 = len(var1)
    if var2 < 3:
        return (0, [1]) if var2 else (0, [])
    var3 = [0] * var2
    var4 = [None] * var2
    var3[0] = var1[0]
    var3[1] = var1[1]
    var4[1] = 0
    for var5 in range(2, var2):
        if var3[var5 - 1] < var3[var5 - 2]:
            var3[var5] = var1[var5] + var3[var5 - 1]
            var4[var5] = var5 - 1
        else:
            var3[var5] = var1[var5] + var3[var5 - 2]
            var4[var5] = var5 - 2
    var6 = []
    var7 = var2 - 1
    while var7 is not None:
        var6.insert(0, var7 + 1)
        var7 = var4[var7]
    return (var3[var2 - 1], var6)",Grasshopper
46,"def var0(var1):
    var2 = len(var1)
    if var2 < 3:
        return (0, [1]) if var2 else (0, [])
    def var3(var4, var5, var6):
        if var4 == var2:
            yield (var5, var6)
        else:
            yield from var3(var4 + 1, var5 + var1[var4], var6 + [var4 + 1])
            yield from var3(var4 + 2, var5 + var1[var4], var6 + [var4 + 2])
    var7 = float('inf')
    var8 = []
    for var9, var6 in var3(0, 0, []):
        if var9 < var7:
            var7 = var9
            var8 = var6
    return (var7, var8)",Grasshopper
47,"from functools import reduce
def var0(var1):
    var2 = len(var1)
    if var2 < 3:
        return (0, [1]) if var2 else (0, [])
    var3 = reduce(lambda var4, var5: var4 + [var1[var5] + min(var4[var5 - 1], var4[var5 - 2] if var5 > 1 else float('inf'))], range(2, var2), [var1[0], var1[1]])
    var6 = []
    var7 = var2 - 1
    while var7 > 0:
        var6.insert(0, var7 + 1)
        if var7 - 2 >= 0 and var3[var7 - 2] <= var3[var7 - 1]:
            var7 -= 2
        else:
            var7 -= 1
    return (var3[var2 - 1], var6)",Grasshopper
