number,code
11,"def grasshopper_dp_memo(costs):
    n = len(costs)
    if n < 3:
        return costs[-1], [1, n]
    dp = {}
    path = {}
    def solve(idx):
        if idx == n - 1:
            return costs[idx], [idx + 1]
        if idx in dp:
            return dp[idx]
        jump1_cost, jump1_path = solve(idx + 1)
        jump2_cost, jump2_path = solve(idx + 2)
        if jump1_cost < jump2_cost:
            dp[idx] = costs[idx] + jump1_cost, [idx + 1] + jump1_path
            path[idx] = idx + 1
        else:
            dp[idx] = costs[idx] + jump2_cost, [idx + 1] + jump2_path
            path[idx] = idx + 2
        return dp[idx]
    total_cost, route = solve(0)
    return total_cost, route"
12,"def grasshopper_dp_iterative(costs):
    n = len(costs)
    if n < 3:
        return costs[-1], [1, n]
    dp = [0] * n
    path = [0] * n
    dp[0] = costs[0]
    dp[1] = costs[1]
    path[1] = 1
    for i in range(2, n):
        if dp[i-1] < dp[i-2]:
            dp[i] = costs[i] + dp[i-1]
            path[i] = i - 1
        else:
            dp[i] = costs[i] + dp[i-2]
            path[i] = i - 2
    route = [n]
    curr = n - 1
    while curr != 0:
      route.insert(0, curr + 1)
      curr = path[curr]
    if len(costs) == 1:
      return costs[0], [1]
    return dp[n-1], route"
13,"def grasshopper_dp_rolling(costs):
    n = len(costs)
    if n < 3:
        return costs[-1], [1, n]
    prev2 = costs[0]
    prev1 = costs[1]
    for i in range(2, n):
        curr = costs[i] + min(prev1, prev2)
        prev2 = prev1
        prev1 = curr
    route = [n]
    curr = n - 1
    if n >= 3:
      while curr != 0:
        if curr == 0:
          break
        if curr == 1:
          route.insert(0, 1)
          break
        if costs[curr-1] + prev2 < costs[curr-2] + prev2:
          route.insert(0, curr)       
          curr -= 1
        else:
          route.insert(0, curr)
          curr -= 2
    elif n == 2:
      route = [1,2]
    elif n == 1:
      route = [1]
    return prev1, route"
14,"def grasshopper_in_place(costs):
    n = len(costs)
    if n < 3:
        return costs[-1], [1, n]
    for i in range(2, n):
        costs[i] += min(costs[i-1], costs[i-2])
    route = [n]
    curr = n - 1
    while curr != 0:
        route.insert(0, curr + 1)
        if curr == 1:
            break
        if costs[curr - 1] <= costs[curr - 2]:
            curr -= 1
        else:
            curr -= 2
    return costs[n-1], route"
15,"def grasshopper_parent_pointers(costs):
    n = len(costs)
    if n < 3:
        return costs[-1], [1, n]
    dp = [0] * n
    parent = [0] * n
    dp[0] = costs[0]
    dp[1] = costs[1]
    for i in range(2, n):
        if dp[i-1] < dp[i-2]:
            dp[i] = costs[i] + dp[i-1]
            parent[i] = i - 1
        else:
            dp[i] = costs[i] + dp[i-2]
            parent[i] = i - 2
    route = [n]
    curr = n - 1
    while curr != 0:
        route.insert(0, curr + 1)
        curr = parent[curr]
    return dp[n-1], route"
16,"def grasshopper_generator(costs):
    n = len(costs)
    if n < 3:
        return costs[-1], [1, n]
    def solve(idx):
        if idx == n - 1:
            yield costs[idx], [idx + 1]
        else:
            if idx + 1 < n:
                for cost1, path1 in solve(idx + 1):
                    yield costs[idx] + cost1, [idx + 1] + path1
            if idx + 2 < n:
                for cost2, path2 in solve(idx + 2):
                    yield costs[idx] + cost2, [idx + 1] + path2
    min_cost = float('inf')
    best_path = []
    for cost, path in solve(0):
        if cost < min_cost:
            min_cost = cost
            best_path = path
    return min_cost, best_path"
17,"from functools import reduce
def grasshopper_reduce(costs):
    n = len(costs)
    if n < 3:
        return costs[-1], [1, n]
    dp = [0] * n
    dp[0] = costs[0]
    dp[1] = costs[1]
    dp = reduce(lambda acc, i: acc + [costs[i] + min(acc[i-1], acc[i-2])], range(2, n), dp)
    route = [n]
    curr = n - 1
    while curr != 0:
        route.insert(0, curr + 1)
        if curr == 1:
          break
        if costs[curr - 1] <= costs[curr - 2]:
            curr -= 1
        else:
            curr -= 2
    return dp[n-1], route"
18,"import numpy as np
def grasshopper_numpy(costs):
    costs = np.array(costs)
    n = len(costs)
    if n < 3:
        return costs[-1], [1, n]
    dp = np.zeros(n, dtype=int)
    dp[0] = costs[0]
    dp[1] = costs[1]
    for i in range(2, n):
        dp[i] = costs[i] + np.min([dp[i-1], dp[i-2]])
    route = [n]
    curr = n - 1
    while curr != 0:
        route.insert(0, curr + 1)
        if curr == 1:
          break
        if dp[curr - 1] <= dp[curr - 2]:
            curr -= 1
        else:
            curr -= 2
    return dp[n-1], route"
19,"def grasshopper_early_exit(costs):
  n = len(costs)
  if n < 3:
      return costs[-1], [1, n]
  dp = [0] * n
  path = [0] * n
  dp[0] = costs[0]
  dp[1] = costs[1]
  for i in range(2, n):
      if dp[i - 1] < dp[i - 2]:
          dp[i] = costs[i] + dp[i - 1]
          path[i] = i - 1
      else:
          dp[i] = costs[i] + dp[i - 2]
          path[i] = i - 2
  route = [n]
  curr = n - 1
  while curr != 0:
    route.insert(0, curr + 1)
    curr = path[curr]
  return dp[n-1], route"
20,"import multiprocessing
def grasshopper_parallel(costs):
    n = len(costs)
    if n < 3:
        return costs[-1], [1, n]
    def calculate_cost(index):
        if index == n - 1:
            return costs[index], [index + 1]
        else:
            cost1, path1 = calculate_cost(index + 1)
            cost2, path2 = calculate_cost(index + 2)
            if cost1 < cost2:
                return costs[index] + cost1, [index + 1] + path1
            else:
                return costs[index] + cost2, [index + 1] + path2
    with multiprocessing.Pool(processes=2) as pool:
        result = pool.apply_async(calculate_cost, (0,))
        total_cost, route = result.get()
    return total_cost, route"
21,"def grasshopper_dp_recursive(route):
    n = len(route)
    memo = {}
    def solve(idx):
        if idx >= n:
            return 0, []
        if idx in memo:
            return memo[idx]
        cost1, path1 = solve(idx + 1)
        cost2, path2 = solve(idx + 2)
        if cost1 + route[idx] < cost2 + route[idx]:
            memo[idx] = cost1 + route[idx], [idx + 1] + path1
        else:
            memo[idx] = cost2 + route[idx], [idx + 2] + path2
        return memo[idx]
    if n < 3:
        return sum(route), list(range(1, n + 1))
    return solve(0)"
22,"def grasshopper_dp_iterative(route):
    n = len(route)
    dp = [0] * n
    path = [[] for _ in range(n)]
    dp[n - 1] = route[n - 1]
    path[n - 1] = [n]
    if n > 1:
        dp[n - 2] = route[n - 2] + route[n - 1]
        path[n - 2] = [n - 1, n]
    for i in range(n - 3, -1, -1):
        if dp[i + 1] + route[i] < dp[i + 2] + route[i]:
            dp[i] = dp[i + 1] + route[i]
            path[i] = [i + 1] + path[i + 1]
        else:
            dp[i] = dp[i + 2] + route[i]
            path[i] = [i + 2] + path[i + 2]
    return dp[0], path[0]"
23,"def grasshopper_dp_rolling(route):
    n = len(route)
    if n < 3:
        return sum(route), list(range(1, n + 1))
    dp = [0, 0]
    path = [[], []]
    dp[0] = route[n - 1]
    path[0] = [n]
    dp[1] = route[n - 2] + route[n - 1]
    path[1] = [n - 1, n]
    for i in range(n - 3, -1, -1):
        if dp[0] + route[i] < dp[1] + route[i]:
            dp[1] = dp[0] + route[i]
            path[1] = [i + 1] + path[0]
        else:
            dp[0] = dp[1] + route[i]
            path[0] = [i + 2] + path[1]
    return dp[0], path[0]"
24,"def grasshopper_dp_inplace(route):
    n = len(route)
    if n < 3:
        return sum(route), list(range(1, n + 1))
    dp = route[:]
    dp[n - 1] = route[n - 1]
    if n > 1:
        dp[n - 2] = route[n - 2] + route[n - 1]
    for i in range(n - 3, -1, -1):
        dp[i] = route[i] + min(dp[i + 1], dp[i + 2])
    path = []
    curr = 0
    while curr < n - 1:
        if dp[curr + 1] < dp[curr + 2]:
            path.append(curr + 1)
            curr += 1
        else:
            path.append(curr + 2)
            curr += 2
    path.append(n)
    return dp[0], [x + 1 for x in path]"
25,"def grasshopper_dp_parent(route):
    n = len(route)
    dp = [0] * n
    parent = [0] * n
    dp[n - 1] = route[n - 1]
    if n > 1:
        dp[n - 2] = route[n - 2] + route[n - 1]
        parent[n - 2] = n - 1
    for i in range(n - 3, -1, -1):
        if dp[i + 1] + route[i] < dp[i + 2] + route[i]:
            dp[i] = dp[i + 1] + route[i]
            parent[i] = i + 1
        else:
            dp[i] = dp[i + 2] + route[i]
            parent[i] = i + 2
    path = []
    curr = 0
    while curr < n:
        path.append(curr + 1)
        curr = parent[curr]
    return dp[0], path"
26,"def grasshopper_dp_generator(route):
    n = len(route)
    def path_generator(idx):
        if idx >= n:
            yield []
        else:
            for next_idx in [idx + 1, idx + 2]:
                for sub_path in path_generator(next_idx):
                    yield [idx + 1] + sub_path
    min_cost = float('inf')
    best_path = []
    for path in path_generator(0):
        cost = sum(route[i - 1] for i in path)
        if cost < min_cost:
            min_cost = cost
            best_path = path
    return min_cost, best_path"
27,"from functools import reduce
def grasshopper_dp_reduce(route):
    n = len(route)
    if n < 3:
        return sum(route), list(range(1, n + 1))
    dp = reduce(lambda acc, i: [route[i] + min(acc[0], acc[1])] + acc, range(n - 2, -1, -1), [route[n - 1], route[n - 2] + route[n - 1]])
    path = []
    curr = 0
    while curr < n - 1:
        if dp[0] < dp[1]:
            path.append(curr + 1)
            curr += 1
        else:
            path.append(curr + 2)
            curr += 2
    path.append(n)
    return dp[0], [x + 1 for x in path]"
28,"import numpy as np
def grasshopper_dp_numpy(route):
    n = len(route)
    route = np.array(route)
    if n < 3:
        return np.sum(route), list(range(1, n + 1))
    dp = np.zeros(n)
    dp[n - 1] = route[n - 1]
    if n > 1:
        dp[n - 2] = route[n - 2] + route[n - 1]
    for i in range(n - 3, -1, -1):
        dp[i] = route[i] + np.min([dp[i + 1], dp[i + 2]])
    path = []
    curr = 0
    while curr < n - 1:
        if dp[curr + 1] < dp[curr + 2]:
            path.append(curr + 1)
            curr += 1
        else:
            path.append(curr + 2)
            curr += 2
    path.append(n)
    return dp[0], [x + 1 for x in path]"
29,"def grasshopper_dp_shortcut(route):
    n = len(route)
    if n < 3:
        return sum(route), list(range(1, n + 1))
    dp = [0] * n
    dp[n - 1] = route[n - 1]
    if n > 1:
        dp[n - 2] = route[n - 2] + route[n - 1]
    for i in range(n - 3, -1, -1):
        if dp[i + 2] > dp[i + 1] + route[i]:
            dp[i] = dp[i + 1] + route[i]
        else:
            dp[i] = dp[i + 2] + route[i]
    path = []
    curr = 0
    while curr < n - 1:
        if dp[curr + 1] < dp[curr + 2]:
            path.append(curr + 1)
            curr += 1
        else:
            path.append(curr + 2)
            curr += 2
    path.append(n)
    return dp[0], [x + 1 for x in path]"
30,"import multiprocessing
def grasshopper_dp_parallel(route):
    n = len(route)
    if n < 3:
        return sum(route), list(range(1, n + 1))
    dp = [0] * n
    dp[n - 1] = route[n - 1]
    if n > 1:
        dp[n - 2] = route[n - 2] + route[n - 1]
    with multiprocessing.Pool(processes=2) as pool:
        results = pool.starmap(
            lambda i: (i, route[i] + min(dp[i + 1], dp[i + 2])),
            [(i,) for i in range(n - 3, -1, -1)]
        )
    for i, cost in results:
        dp[i] = cost
    path = []
    curr = 0
    while curr < n - 1:
        if dp[curr + 1] < dp[curr + 2]:
            path.append(curr + 1)
            curr += 1
        else:
            path.append(curr + 2)
            curr += 2
    path.append(n)
    return dp[0], [x + 1 for x in path]"
31,"def solve_grasshopper_recursion(costs):
    n = len(costs)
    memo = {}
    path = {}
    def recurse(index):
        if index >= n:
            return 0, []
        if index in memo:
            return memo[index]
        cost1, path1 = recurse(index + 1)
        cost2, path2 = recurse(index + 2)
        if cost1 + costs[index] < cost2 + costs[index]:
            memo[index] = cost1 + costs[index], [index + 1] + path1
        else:
            memo[index] = cost2 + costs[index], [index + 2] + path2
        return memo[index]
    total_cost, hops = recurse(0)
    return total_cost, [i + 1 for i in hops]"
32,"def solve_grasshopper_iterative(costs):
    n = len(costs)
    dp = [0] * n
    path = [[] for _ in range(n)]
    dp[0] = costs[0]
    path[0] = [1]
    if n > 1:
        dp[1] = costs[1]
        path[1] = [2]
        for i in range(2, n):
            if dp[i - 1] + costs[i] < dp[i - 2] + costs[i]:
                dp[i] = dp[i - 1] + costs[i]
                path[i] = [i + 1] + path[i - 1]
            else:
                dp[i] = dp[i - 2] + costs[i]
                path[i] = [i + 1] + path[i - 2]
    return dp[n - 1], path[n - 1]"
33,"def solve_grasshopper_rolling(costs):
    n = len(costs)
    if n < 3: return costs[-1] if n > 0 else 0, []
    prev2 = costs[0]
    prev1 = costs[1]
    path_prev2 = [1]
    path_prev1 = [2]
    for i in range(2, n):
        if prev1 + costs[i] < prev2 + costs[i]:
            curr = prev1 + costs[i]
            path = [i + 1] + path_prev1
        else:
            curr = prev2 + costs[i]
            path = [i + 1] + path_prev2
        prev2 = prev1
        prev1 = curr
        path_prev2 = path_prev1
        path_prev1 = path
    return prev1, [x+1 for x in path_prev1]"
34,"def solve_grasshopper_inplace(costs):
    n = len(costs)
    if n < 3: return costs[-1] if n > 0 else 0, []
    costs = costs[:]
    for i in range(2, n):
        costs[i] += min(costs[i - 1], costs[i - 2])
    path = []
    curr = n - 1
    while curr > 0:
        path.append(curr + 1)
        if curr >= 2 and costs[curr] == costs[curr - 2] + costs[curr]:
            curr -= 2
        else:
            curr -= 1
    path.append(1)
    return costs[n - 1], path[::-1]"
35,"def solve_grasshopper_parent(costs):
    n = len(costs)
    dp = [float('inf')] * n
    parent = [None] * n
    dp[0] = costs[0]
    dp[1] = costs[1]
    parent[1] = 0
    for i in range(2, n):
        if dp[i - 1] + costs[i] < dp[i - 2] + costs[i]:
            dp[i] = dp[i - 1] + costs[i]
            parent[i] = i - 1
        else:
            dp[i] = dp[i - 2] + costs[i]
            parent[i] = i - 2
    path = []
    curr = n - 1
    while curr is not None:
        path.append(curr + 1)
        curr = parent[curr]
    return dp[n - 1], path[::-1]"
36,"def solve_grasshopper_generator(costs):
    n = len(costs)
    dp = [0] * n
    path = [[] for _ in range(n)]
    dp[0] = costs[0]
    path[0] = [1]
    if n > 1:
        dp[1] = costs[1]
        path[1] = [2]
        for i in range(2, n):
            def gen_path(j):
                if j == i-1:
                    yield [i+1] + path[i-1]
                else:
                    yield [i+1] + path[i-2]
            if dp[i - 1] + costs[i] < dp[i - 2] + costs[i]:
                dp[i] = dp[i - 1] + costs[i]
                path[i] = next(gen_path(i-1))
            else:
                dp[i] = dp[i - 2] + costs[i]
                path[i] = next(gen_path(i-2))
    return dp[n - 1], path[n - 1]"
37,"from functools import reduce
def solve_grasshopper_reduce(costs):
    n = len(costs)
    dp = reduce(lambda acc, i: acc + [min(acc[-1] + costs[i], (acc[-2] if i > 1 else float('inf')) + costs[i])], range(n), [0, costs[0]] if n > 0 else [])
    path = []
    curr = n - 1
    while curr > 0:
        path.append(curr + 1)
        if curr > 1 and dp[curr] == dp[curr - 1] + costs[curr]:
            curr -= 1
        else:
            curr -= 2
    path.append(1)
    return dp[n - 1], path[::-1]"
38,"import numpy as np
def solve_grasshopper_numpy(costs):
    n = len(costs)
    dp = np.zeros(n)
    if n>0:
        dp[0] = costs[0]
        if n > 1:
            dp[1] = costs[1]
            for i in range(2, n):
                dp[i] = costs[i] + min(dp[i - 1], dp[i - 2])
    path = []
    curr = n - 1
    while curr > 0:
        path.append(curr + 1)
        if dp[curr] == dp[curr - 1] + costs[curr]:
            curr -= 1
        else:
            curr -= 2
    path.append(1)
    return dp[n - 1], path[::-1]"
39,"def solve_grasshopper_early_exit(costs):
    n = len(costs)
    if n < 3: return costs[-1] if n > 0 else 0, []
    dp = [0] * n
    dp[0] = costs[0]
    dp[1] = costs[1]
    for i in range(2, n):
        dp[i] = costs[i] + min(dp[i - 1], dp[i - 2])
        if dp[i] > 1e6:
            break
    path = []
    curr = n - 1
    while curr > 0:
        path.append(curr + 1)
        if dp[curr] == dp[curr - 1] + costs[curr]:
            curr -= 1
        else:
            curr -= 2
    path.append(1)
    return dp[n - 1], path[::-1]"
40,"from multiprocessing import Pool
def solve_grasshopper_parallel(costs):
    n = len(costs)
    if n < 3: return costs[-1] if n > 0 else 0, []
    dp = [0] * n
    dp[0] = costs[0]
    dp[1] = costs[1]
    with Pool(processes=2) as pool:
        for i in range(2, n):
                results = pool.starmap(_calculate_dp_value, [(dp, costs, i)])
                dp[i] = results[0]
    path = []
    curr = n - 1
    while curr > 0:
        path.append(curr + 1)
        if dp[curr] == dp[curr - 1] + costs[curr]:
            curr -= 1
        else:
            curr -= 2
    path.append(1)
    return dp[n - 1], path[::-1]
def _calculate_dp_value(dp, costs, i):
    return costs[i] + min(dp[i - 1], dp[i - 2])"
41,"def solve_dp_recursive_memo(costs):
    n = len(costs)
    if n < 3: return (0, [1]) if n else (0, [])
    memo = {}
    path = []
    def recurse(index):
        if index == n: return 0, []
        if index in memo: return memo[index]
        jump1_cost, jump1_path = recurse(index + 1)
        jump2_cost, jump2_path = recurse(index + 2)
        if jump1_cost < jump2_cost:
            cost = costs[index] + jump1_cost
            p = [index + 1] + jump1_path
        else:
            cost = costs[index] + jump2_cost
            p = [index + 2] + jump2_path
        memo[index] = (cost, p)
        return cost, p
    total_cost, path = recurse(0)
    return total_cost, path"
42,"def solve_dp_iterative(road):
    size = len(road)
    if size < 3: return (0, [1]) if size else (0, [])
    dp = [0] * size
    prev = [None] * size
    dp[0] = road[0]
    dp[1] = road[1]
    prev[1] = 0
    for i in range(2, size):
        if dp[i - 1] < dp[i - 2]:
            dp[i] = road[i] + dp[i - 1]
            prev[i] = i - 1
        else:
            dp[i] = road[i] + dp[i - 2]
            prev[i] = i - 2
    path = []
    curr = size - 1
    while curr is not None:
        path.insert(0, curr + 1)
        curr = prev[curr]
    return dp[size - 1], path"
43,"def solve_rolling_array(pathway):
    count = len(pathway)
    if count < 3: return (0, [1]) if count else (0, [])
    a = 0
    b = pathway[0]
    c = pathway[1]
    for i in range(2, count):
        temp = pathway[i] + min(a, b)
        a = b
        b = c
        c = temp
    path = []
    curr = count - 1
    if c <= a + pathway[count-1]:
        path.append(curr + 1)
        curr -= 2
    else:
        path.append(curr + 1)
        curr -= 1
    while curr >= 0:
        path.append(curr + 1)
        if curr - 2 >= 0:
            curr -= 2
        else:
            curr -= 1
    return c, path[::-1]"
44,"def solve_in_place(expenses):
    n = len(expenses)
    if n < 3: return (0, [1]) if n else (0, [])
    for i in range(2, n):
        expenses[i] += min(expenses[i-1], expenses[i-2])
    path = [n]
    curr = n - 1
    while curr > 0:
        if curr - 2 >= 0 and expenses[curr-2] <= expenses[curr-1]:
            curr -= 2
        else:
            curr -= 1
        path.append(curr + 1)
    return expenses[n-1], path[::-1]"
45,"def solve_parent_pointers(prices):
    length = len(prices)
    if length < 3: return (0, [1]) if length else (0, [])
    dp = [0] * length
    parent = [None] * length
    dp[0] = prices[0]
    dp[1] = prices[1]
    parent[1] = 0
    for i in range(2, length):
        if dp[i-1] < dp[i-2]:
            dp[i] = prices[i] + dp[i-1]
            parent[i] = i - 1
        else:
            dp[i] = prices[i] + dp[i-2]
            parent[i] = i - 2
    path = []
    curr = length - 1
    while curr is not None:
        path.insert(0, curr + 1)
        curr = parent[curr] 
    return dp[length - 1], path"
46,"def solve_generator(costs_list):
    n = len(costs_list)
    if n < 3: return (0, [1]) if n else (0, [])
    def cost_gen(index, current_cost, path):
        if index == n:
            yield current_cost, path
        else:
            yield from cost_gen(index + 1, current_cost + costs_list[index], path + [index + 1])
            yield from cost_gen(index + 2, current_cost + costs_list[index], path + [index + 2])
    min_cost = float('inf')
    best_path = []
    for cost, path in cost_gen(0, 0, []):
      if cost < min_cost:
          min_cost = cost
          best_path = path
    return min_cost, best_path"
47,"from functools import reduce
def solve_reduce(route_costs):
    n = len(route_costs)
    if n < 3: return (0, [1]) if n else (0, [])
    dp = reduce(lambda acc, i: acc + [route_costs[i] + min(acc[i-1], acc[i-2] if i > 1 else float('inf'))], range(2, n), [route_costs[0], route_costs[1]])
    path = []
    curr = n - 1
    while curr > 0:
        path.insert(0, curr + 1)
        if curr - 2 >= 0 and dp[curr-2] <= dp[curr-1]:
            curr -= 2
        else:
            curr -= 1
    return dp[n-1], path"
48,"import numpy as np
def solve_numpy(data):
    n = len(data)
    if n < 3: return (0, [1]) if n else (0, [])
    dp = np.zeros(n, dtype=np.int64)
    dp[0] = data[0]
    dp[1] = data[1]
    for i in range(2, n):
        dp[i] = data[i] + min(dp[i-1], dp[i-2])
    path = []
    curr = n - 1
    while curr >= 0:
        path.insert(0, curr + 1)
        if curr - 2 >= 0 and dp[curr-2] <= dp[curr-1]:
            curr -= 2
        else:
            curr -= 1
    return dp[n-1], path"
49,"def solve_early_exit(costs_route):
    n = len(costs_route)
    if n < 3: return (0, [1]) if n else (0, [])
    dp = [0] * n
    dp[0] = costs_route[0]
    dp[1] = costs_route[1]
    for i in range(2, n):
        dp[i] = costs_route[i] + min(dp[i-1], dp[i-2])
        if dp[i] > 10**6:
            break      
    path = [n]
    curr = n - 1
    while curr > 0:
        path.insert(0, curr + 1)
        if curr - 2 >= 0 and dp[curr - 2] <= dp[curr-1]:
            curr -= 2
        else:
            curr -= 1
    return dp[n-1], path"
50,"import multiprocessing
def solve_parallel_jumps(costs_list):
    n = len(costs_list)
    if n < 3: return (0, [1]) if n else (0, [])
    with multiprocessing.Pool(processes=2) as pool:
        results = pool.starmap(calculate_cost_path, [(i, costs_list) for i in [1, 2]])
    jump1_cost, jump1_path = results[0]
    jump2_cost, jump2_path = results[1]
    if jump1_cost < jump2_cost:
        cost = costs_list[0] + jump1_cost
        path = [1] + jump1_path
    else:
        cost = costs_list[0] + jump2_cost
        path = [2] + jump2_path
    return cost, path
def calculate_cost_path(start_jump, costs_list):
    n = len(costs_list)
    dp = [0] * n
    dp[0] = 0
    dp[1] = costs_list[1]
    for i in range(2, n):
        dp[i] = costs_list[i] + min(dp[i-1], dp[i-2])
    path = [x + 1 for x in range(n-1, -1, -1)]
    return dp[n-1], path"
51,"def grasshopper_dp_recursive(path):
    n = len(path)
    memo = {}
    def solve(idx):
        if idx >= n: return 0, []
        if idx in memo: return memo[idx]
        jump_one_cost, jump_one_path = solve(idx + 1)
        jump_two_cost, jump_two_path = solve(idx + 2)
        if jump_one_cost + path[idx] < jump_two_cost + path[idx]:
            memo[idx] = jump_one_cost + path[idx], [idx + 1] + jump_one_path
        else:
            memo[idx] = jump_two_cost + path[idx], [idx + 2] + jump_two_path
        return memo[idx]
    if n < 3: return sum(path), list(range(1, n+1))
    return solve(0)"
52,"def grasshopper_dp_iterative(route):
    length = len(route)
    dp = [0] * length
    path_info = [[] for _ in range(length)]
    dp[0] = route[0]
    path_info[0] = [1]
    if length > 1:
        dp[1] = route[1]
        path_info[1] = [2]
    for i in range(2, length):
        if dp[i-1] + route[i] < dp[i-2] + route[i]:
            dp[i] = dp[i-1] + route[i]
            path_info[i] = [i + 1] + path_info[i-1]
        else:
            dp[i] = dp[i-2] + route[i]
            path_info[i] = [i + 2] + path_info[i-2]
    return dp[length-1], path_info[length-1]"
53,"def grasshopper_dp_rolling(costs):
    n = len(costs)
    if n < 3: return sum(costs), list(range(1, n + 1))
    dp = [0, 0]
    paths = [[1], [2]]
    for i in range(2, n):
        if dp[0] + costs[i] < dp[1] + costs[i]:
            dp[1] = dp[0] + costs[i]
            paths[1] = [i+1] + paths[0]
        else:
            dp[1] = dp[1] + costs[i]
            paths[1] = [i+2] + paths[1]
        dp[0], dp[1] = dp[1], dp[0]
        paths[0], paths[1] = paths[1], paths[0]
    return dp[1], paths[1]"
