number,code
11,"def solve_turtle_dp1(grid):
    n = len(grid)
    m = len(grid[0]) if n > 0 else 0
    dp = [[0] * m for _ in range(n)]
    path = [[''] * m for _ in range(n)]
    if n == 0 or m == 0: return 0, """"
    dp[0][0] = grid[0][0]
    for i in range(n):
        for j in range(m):
            if i == 0 and j == 0: continue
            up = dp[i - 1][j] if i > 0 else float('inf')
            left = dp[i][j - 1] if j > 0 else float('inf')
            if up <= left:
                dp[i][j] = up + grid[i][j]
                path[i][j] = path[i - 1][j] + 'D'
            else:
                dp[i][j] = left + grid[i][j]
                path[i][j] = path[i][j - 1] + 'R'
    return dp[n - 1][m - 1], path[n - 1][m - 1]"
12,"def solve_turtle_dp2(costs):
    rows = len(costs)
    cols = len(costs[0]) if rows else 0
    if rows == 0 or cols == 0: return 0, """"
    cost_matrix = [[0] * cols for _ in range(rows)]
    cost_matrix[0][0] = costs[0][0]
    for i in range(rows):
        for j in range(cols):
            if i == 0 and j == 0: continue
            cost_matrix[i][j] = costs[i][j] + min(cost_matrix[i - 1][j] if i > 0 else float('inf'), cost_matrix[i][j - 1] if j > 0 else float('inf'))
    path = """"
    i, j = rows - 1, cols - 1
    while i > 0 or j > 0:
        if i > 0 and (j == 0 or cost_matrix[i - 1][j] <= cost_matrix[i][j - 1]):
            path = 'D' + path
            i -= 1
        else:
            path = 'R' + path
            j -= 1
    return cost_matrix[rows - 1][cols - 1], path"
13,"def solve_turtle_dp3(matrix):
    n = len(matrix)
    m = len(matrix[0]) if n > 0 else 0
    if n == 0 or m == 0: return 0, """"
    prev_row = [0] * m
    curr_row = [0] * m
    prev_row[0] = matrix[0][0]
    for j in range(1, m):
        prev_row[j] = prev_row[j - 1] + matrix[0][j]
    for i in range(1, n):
        curr_row[0] = prev_row[0] + matrix[i][0]
        for j in range(1, m):
            curr_row[j] = matrix[i][j] + min(prev_row[j], curr_row[j - 1])
        prev_row = curr_row[:]
    path = """"
    i, j = n - 1, m - 1
    while i > 0 or j > 0:
        if i > 0 and (j == 0 or prev_row[j] <= curr_row[j - 1]):
            path = 'D' + path
            i -= 1
        else:
            path = 'R' + path
            j -= 1
    return prev_row[m - 1], path"
14,"def solve_turtle_dp4(grid):
    n = len(grid)
    m = len(grid[0]) if n > 0 else 0
    if n == 0 or m == 0: return 0, """"
    dp = [0] * m
    for i in range(n):
        new_dp = [0] * m
        new_dp[0] = dp[0] + grid[i][0]
        for j in range(1, m):
            new_dp[j] = grid[i][j] + min(dp[j], new_dp[j - 1])
        dp = new_dp
    path = """"
    i, j = n - 1, m - 1
    while i > 0 or j > 0:
        if i > 0 and (j == 0 or dp[j] <= dp[j-1]):
            path = 'D' + path
            i -= 1
        else:
            path = 'R' + path
            j -= 1
    return dp[m - 1], path"
15,"def solve_turtle_dp5(arr):
    n = len(arr)
    m = len(arr[0]) if n > 0 else 0
    if n == 0 or m == 0: return 0, """"
    dp = [[(float('inf'), '') for _ in range(m)] for _ in range(n)]
    dp[0][0] = (arr[0][0], '')
    for i in range(n):
        for j in range(m):
            if i > 0:
                cost, path = dp[i - 1][j]
                if cost + arr[i][j] < dp[i][j][0]:
                    dp[i][j] = (cost + arr[i][j], path + 'D')
            if j > 0:
                cost, path = dp[i][j - 1]
                if cost + arr[i][j] < dp[i][j][0]:
                    dp[i][j] = (cost + arr[i][j], path + 'R')
    return dp[n - 1][m - 1]"
16,"def solve_turtle_dp6(matrix):
    n = len(matrix)
    m = len(matrix[0]) if n > 0 else 0
    if n == 0 or m == 0: return 0, """"
    def find_path(row, col):
        if row == 0 and col == 0:
            return matrix[0][0], """"
        if row == 0:
            cost, path = find_path(row, col - 1)
            return cost + matrix[row][col], path + 'R'
        if col == 0:
            cost, path = find_path(row - 1, col)
            return cost + matrix[row][col], path + 'D'
        cost_down, path_down = find_path(row - 1, col)
        cost_right, path_right = find_path(row, col - 1)
        if cost_down <= cost_right:
            return cost_down + matrix[row][col], path_down + 'D'
        else:
            return cost_right + matrix[row][col], path_right + 'R'
    return find_path(n - 1, m - 1)"
17,"import functools
def solve_turtle_dp7(costs):
    n = len(costs)
    m = len(costs[0]) if n > 0 else 0
    if n == 0 or m == 0: return 0, """"
    @functools.lru_cache(maxsize=None)
    def min_cost(r, c):
        if r == 0 and c == 0: return costs[0][0], """"
        if r < 0 or c < 0: return float('inf'), """"
        down_cost, down_path = min_cost(r - 1, c)
        right_cost, right_path = min_cost(r, c - 1)
        if down_cost <= right_cost:
            return down_cost + costs[r][c], down_path + 'D'
        else:
            return right_cost + costs[r][c], right_path + 'R'
    return min_cost(n - 1, m - 1)"
18,"import numpy as np
def solve_turtle_dp8(grid):
    n = len(grid)
    m = len(grid[0]) if n > 0 else 0
    if n == 0 or m == 0: return 0, """"
    dp = np.zeros((n, m), dtype=np.int64)
    parent = np.empty((n, m), dtype=object)
    dp[0, 0] = grid[0][0]
    for i in range(n):
        for j in range(m):
            if i == 0 and j == 0:
                continue
            up = dp[i - 1, j] if i > 0 else np.inf
            left = dp[i, j - 1] if j > 0 else np.inf
            if up <= left:
                dp[i, j] = up + grid[i][j]
                parent[i, j] = (i - 1, j)
            else:
                dp[i, j] = left + grid[i][j]
                parent[i, j] = (i, j - 1)
    path = """"
    i, j = n - 1, m - 1
    while i > 0 or j > 0:
        prev_i, prev_j = parent[i, j]
        if prev_i == i - 1:
            path = 'D' + path
        else:
            path = 'R' + path
        i, j = prev_i, prev_j
    return dp[n - 1, m - 1], path"
19,"def solve_turtle_dp9(costs):
    n = len(costs)
    m = len(costs[0]) if n > 0 else 0
    if n == 0 or m == 0: return 0, """"
    dp = [[(float('inf'), '') for _ in range(m)] for _ in range(n)]
    dp[0][0] = (costs[0][0], '')
    for i in range(n):
      for j in range(m):
        if i > 0 and dp[i-1][j][0] + costs[i][j] < dp[i][j][0]:
            dp[i][j] = (dp[i-1][j][0] + costs[i][j], dp[i-1][j][1] + 'D')
        if j > 0 and dp[i][j-1][0] + costs[i][j] < dp[i][j][0]:
            dp[i][j] = (dp[i][j-1][0] + costs[i][j], dp[i][j-1][1] + 'R')
    return dp[n-1][m-1]"
20,"import multiprocessing
def solve_turtle_dp10(grid):
    n = len(grid)
    m = len(grid[0]) if n > 0 else 0
    if n == 0 or m == 0: return 0, """"
    def calculate_row(row_index):
        row_costs = [0] * m
        row_costs[0] = grid[row_index][0] + (dp_prev[0] if row_index > 0 else 0)
        for j in range(1, m):
            row_costs[j] = grid[row_index][j] + min(row_costs[j - 1], dp_prev[j])
        return row_costs
    with multiprocessing.Pool() as pool:
        dp_prev = [0] * m
        for i in range(n):
            dp_current = pool.apply_async(calculate_row, (i,))
            dp_prev = dp_current.get()
    path = """"
    i, j = n - 1, m - 1
    while i > 0 or j > 0:
        if i > 0 and (j == 0 or dp_prev[j] <= dp_current[j-1] if i >0 else True):
            path = 'D' + path
            i -= 1
        else:
            path = 'R' + path
            j -= 1
    return dp_prev[m - 1], path"
21,"def turtle_dp_recursive(grid):
    rows, cols = len(grid), len(grid[0]) if grid else 0
    memo = {}
    def find_path(x, y):
        if (x, y) in memo:
            return memo[(x, y)]
        if x == rows - 1 and y == cols - 1:
            return grid[x][y], """"
        if x >= rows or y >= cols:
            return float('inf'), """"
        down_cost, down_path = find_path(x + 1, y)
        right_cost, right_path = find_path(x, y + 1)
        cost = grid[x][y] + min(down_cost, right_cost)
        path = (""D"" + down_path) if down_cost < right_cost else (""R"" + right_path)
        memo[(x, y)] = cost, path
        return cost, path
    if not grid: return 0, """"
    return find_path(0, 0)"
22,"def turtle_dp_iterative(price_matrix):
    n, m = len(price_matrix), len(price_matrix[0]) if price_matrix else 0
    dp_table = [[0] * m for _ in range(n)]
    dp_table[0][0] = price_matrix[0][0]
    for i in range(1, n):
        dp_table[i][0] = dp_table[i-1][0] + price_matrix[i][0]
    for j in range(1, m):
        dp_table[0][j] = dp_table[0][j-1] + price_matrix[0][j]
    for i in range(1, n):
        for j in range(1, m):
            dp_table[i][j] = price_matrix[i][j] + min(dp_table[i-1][j], dp_table[i][j-1])
    path = """"
    x, y = n - 1, m - 1
    while x > 0 or y > 0:
        if x > 0 and y > 0 and dp_table[x-1][y] < dp_table[x][y-1]:
            path = ""D"" + path
            x -= 1
        else:
            path = ""R"" + path
            y -= 1
    return dp_table[n-1][m-1], path"
23,"def turtle_dp_space_optimized(cost_grid):
    if not cost_grid: return 0, """"
    n, m = len(cost_grid), len(cost_grid[0])
    prev_row = [0] * m
    curr_row = [0] * m
    prev_row[0] = cost_grid[0][0]
    for j in range(1, m):
        prev_row[j] = prev_row[j-1] + cost_grid[0][j]
    for i in range(1, n):
        curr_row[0] = prev_row[0] + cost_grid[i][0]
        for j in range(1, m):
            curr_row[j] = cost_grid[i][j] + min(prev_row[j], curr_row[j-1])
        prev_row, curr_row = curr_row, prev_row
    path = """"
    x, y = n - 1, m - 1
    while x > 0 or y > 0:
        if x > 0 and y > 0 and prev_row[y] - cost_grid[x][y] < curr_row[y-1] - cost_grid[x][y]:
            path = ""D"" + path
            x -= 1
        else:
            path = ""R"" + path
            y -= 1
    return prev_row[m-1], path"
24,"def turtle_dp_in_place(terrain):
  if not terrain: return 0, """"
  rows, cols = len(terrain), len(terrain[0])
  for i in range(1, rows):
    terrain[i][0] += terrain[i-1][0]
  for j in range(1, cols):
    terrain[0][j] += terrain[0][j-1]
  for i in range(1, rows):
    for j in range(1, cols):
      terrain[i][j] += min(terrain[i-1][j], terrain[i][j-1])
  path = """"
  x, y = rows - 1, cols - 1
  while x > 0 or y > 0:
    if x > 0 and y > 0 and terrain[x-1][y] < terrain[x][y-1]:
      path = ""D"" + path
      x -= 1
    else:
      path = ""R"" + path
      y -= 1
  return terrain[rows-1][cols-1], path"
25,"def turtle_dp_parent_pointers(matrix):
    n, m = len(matrix), len(matrix[0]) if matrix else 0
    dp = [[0] * m for _ in range(n)]
    parent = [[None] * m for _ in range(n)]
    dp[0][0] = matrix[0][0]
    for i in range(n):
        for j in range(m):
            if i > 0 and j > 0:
                if dp[i-1][j] < dp[i][j-1]:
                    dp[i][j] = matrix[i][j] + dp[i-1][j]
                    parent[i][j] = (i-1, j)
                else:
                    dp[i][j] = matrix[i][j] + dp[i][j-1]
                    parent[i][j] = (i, j-1)
            elif i == 0 and j > 0:
                dp[i][j] = matrix[i][j] + dp[i][j-1]
                parent[i][j] = (i, j-1)
            elif i > 0 and j == 0:
                dp[i][j] = matrix[i][j] + dp[i-1][j]
                parent[i][j] = (i-1, j)
    path = """"
    x, y = n - 1, m - 1
    while x != 0 or y != 0:
        if parent[x][y] is None: break
        px, py = parent[x][y]
        if px == x - 1:
            path = ""D"" + path
        else:
            path = ""R"" + path
        x, y = px, py
    return dp[n-1][m-1], path"
26,"def turtle_dp_generator(grid_val):
    n, m = len(grid_val), len(grid_val[0]) if grid_val else 0
    dp_gen = ((grid_val[i][j] + min(dp_gen_row[j], dp_gen[i-1][j]) if i > 0 and j > 0 else
               grid_val[i][j] + dp_gen_row[j] if i == 0 and j > 0 else
               grid_val[i][j] + dp_gen[i-1][j] if i > 0 and j == 0 else
               grid_val[i][j]) for i in range(n) for j in range(m))
    dp_gen_list = list(dp_gen)
    dp_matrix = [dp_gen_list[i*m:(i+1)*m] for i in range(n)]
    path = """"
    x, y = n - 1, m - 1
    while x > 0 or y > 0:
        if x > 0 and y > 0 and dp_matrix[x-1][y] < dp_matrix[x][y-1]:
            path = ""D"" + path
            x -= 1
        else:
            path = ""R"" + path
            y -= 1
    return dp_matrix[n-1][m-1], path"
27,"from functools import reduce
def turtle_dp_reduce(arena):
    n, m = len(arena), len(arena[0]) if arena else 0
    if not arena: return 0, """"
    dp_row = reduce(lambda acc, j: acc + [arena[0][j] + acc[-1] if j > 0 else arena[0][j]], range(m), [0])
    for i in range(1, n):
        dp_row = reduce(lambda acc, j: acc + [arena[i][j] + min(dp_row[j], acc[-1]) if j > 0 else arena[i][j]], range(m), [dp_row[0] + arena[i][0]])
    path = """"
    x, y = n - 1, m - 1
    while x > 0 or y > 0:
        if x > 0 and y > 0 and (dp_row[y] - arena[x][y]) - 1 < (dp_row[y-1] - arena[x][y]) -1:
            path = ""D"" + path
            x -= 1
        else:
            path = ""R"" + path
            y -= 1
    return dp_row[m-1], path"
28,"import numpy as np
def turtle_dp_numpy(cost_map):
    grid = np.array(cost_map)
    n, m = grid.shape
    dp = np.zeros((n, m), dtype=int)
    dp[0,0] = grid[0,0]
    for i in range(1, n):
        dp[i,0] = dp[i-1,0] + grid[i,0]
    for j in range(1, m):
        dp[0,j] = dp[0,j-1] + grid[0,j]
    for i in range(1, n):
        for j in range(1, m):
            dp[i,j] = grid[i,j] + min(dp[i-1,j], dp[i,j-1])
    path = """"
    x, y = n - 1, m - 1
    while x > 0 or y > 0:
        if x > 0 and y > 0 and dp[x-1,y] < dp[x,y-1]:
            path = ""D"" + path
            x -= 1
        else:
            path = ""R"" + path
            y -= 1
    return dp[n-1,m-1], path"
29,"def turtle_dp_early_exit(prices):
    rows, cols = len(prices), len(prices[0]) if prices else 0
    dp = [[0] * cols for _ in range(rows)]
    dp[0][0] = prices[0][0]
    for i in range(rows):
        for j in range(cols):
            if i == 0 and j == 0: continue
            up = dp[i-1][j] if i > 0 else float('inf')
            left = dp[i][j-1] if j > 0 else float('inf')
            dp[i][j] = prices[i][j] + min(up, left)
            if dp[i][j] >= 10**6: break
    path = """"
    x, y = rows - 1, cols - 1
    while x > 0 or y > 0:
        if x > 0 and y > 0 and dp[x-1][y] < dp[x][y-1]:
            path = ""D"" + path
            x -= 1
        else:
            path = ""R"" + path
            y -= 1
    return dp[rows-1][cols-1], path"
30,"import multiprocessing
def turtle_dp_parallel(costs):
    if not costs: return 0, """"
    n, m = len(costs), len(costs[0])
    def compute_row(i):
        row_dp = [0] * m
        row_dp[0] = costs[i][0] + (dp_prev[0] if i>0 else 0)
        for j in range(1, m):
            row_dp[j] = costs[i][j] + min(row_dp[j-1], dp_prev[j])
        return row_dp
    with multiprocessing.Pool() as pool:
        dp_list = pool.map(compute_row, range(n))
    dp_prev = dp_list[0]
    for i in range(1, len(dp_list)):
        dp_prev = dp_list[i]
    path = """"
    x, y = n - 1, m - 1
    while x > 0 or y > 0:
        if x > 0 and y > 0 and dp_list[x-1][y] < dp_list[x][y-1]:
            path = ""D"" + path
            x -= 1
        else:
            path = ""R"" + path
            y -= 1
    return dp_prev[m-1], path"
31,"def turtle_dp_recursive(grid):
    rows = len(grid)
    cols = len(grid[0]) if rows > 0 else 0
    memo = {}
    def solve(i, j):
        if (i, j) in memo:
            return memo[(i, j)]
        if i == rows - 1 and j == cols - 1:
            return grid[i][j], """"
        if i >= rows or j >= cols:
            return float('inf'), """"
        down_cost, down_path = solve(i + 1, j)
        right_cost, right_path = solve(i, j + 1)
        if down_cost < right_cost:
            memo[(i, j)] = grid[i][j] + down_cost, ""D"" + down_path
        else:
            memo[(i, j)] = grid[i][j] + right_cost, ""R"" + right_path
        return memo[(i, j)]
    if not grid:
        return 0, """"
    return solve(0, 0)"
32,"def turtle_dp_iterative(cost_matrix):
    n = len(cost_matrix)
    m = len(cost_matrix[0]) if n > 0 else 0
    dp = [[0] * m for _ in range(n)]
    path = [[''] * m for _ in range(n)]
    dp[0][0] = cost_matrix[0][0]
    for i in range(1, n):
        dp[i][0] = dp[i - 1][0] + cost_matrix[i][0]
        path[i][0] = 'D' + path[i - 1][0]
    for j in range(1, m):
        dp[0][j] = dp[0][j - 1] + cost_matrix[0][j]
        path[0][j] = 'R' + path[0][j - 1]
    for i in range(1, n):
        for j in range(1, m):
            if dp[i - 1][j] < dp[i][j - 1]:
                dp[i][j] = dp[i - 1][j] + cost_matrix[i][j]
                path[i][j] = 'D' + path[i - 1][j]
            else:
                dp[i][j] = dp[i][j - 1] + cost_matrix[i][j]
                path[i][j] = 'R' + path[i][j - 1]
    return dp[n - 1][m - 1], path[n - 1][m - 1]"
33,"def turtle_dp_rolling_array(matrix):
    n = len(matrix)
    m = len(matrix[0]) if n > 0 else 0
    if n == 0:
        return 0, """"
    dp = [0] * m
    path = [''] * m
    dp[0] = matrix[0][0]
    path[0] = """"
    for j in range(1, m):
        dp[j] = dp[j - 1] + matrix[0][j]
        path[j] = 'R' + path[j - 1]
    for i in range(1, n):
        new_dp = [0] * m
        new_path = [''] * m
        new_dp[0] = dp[0] + matrix[i][0]
        new_path[0] = 'D' + path[0]
        for j in range(1, m):
            if dp[j] < new_dp[j - 1]:
                new_dp[j] = dp[j] + matrix[i][j]
                new_path[j] = 'D' + path[j]
            else:
                new_dp[j] = new_dp[j - 1] + matrix[i][j]
                new_path[j] = 'R' + new_path[j - 1]
        dp = new_dp
        path = new_path
    return dp[m - 1], path[m - 1]"
34,"def turtle_dp_in_place(costs):
    n = len(costs)
    m = len(costs[0]) if n > 0 else 0
    if n == 0:
        return 0, """"
    for i in range(n):
        for j in range(m):
            if i > 0 and j > 0:
                costs[i][j] += min(costs[i - 1][j], costs[i][j - 1])
            elif i > 0:
                costs[i][j] += costs[i - 1][j]
            elif j > 0:
                costs[i][j] += costs[i][j - 1]
    path = """"
    i, j = n - 1, m - 1
    while i > 0 or j > 0:
        if i > 0 and j > 0 and costs[i - 1][j] <= costs[i][j - 1]:
            path = ""D"" + path
            i -= 1
        else:
            path = ""R"" + path
            j -= 1
    return costs[n - 1][m - 1], path"
35,"def turtle_dp_parent_pointers(matrix):
    n = len(matrix)
    m = len(matrix[0]) if n > 0 else 0
    dp = [[0] * m for _ in range(n)]
    parent = [[None] * m for _ in range(n)]
    for i in range(n):
        for j in range(m):
            if i == 0 and j == 0:
                continue
            if i > 0 and j > 0:
                if dp[i - 1][j] < dp[i][j - 1]:
                    dp[i][j] = dp[i - 1][j] + matrix[i][j]
                    parent[i][j] = (i - 1, j)
                else:
                    dp[i][j] = dp[i][j - 1] + matrix[i][j]
                    parent[i][j] = (i, j - 1)
            elif i > 0:
                dp[i][j] = dp[i - 1][j] + matrix[i][j]
                parent[i][j] = (i - 1, j)
            else:
                dp[i][j] = dp[i][j - 1] + matrix[i][j]
                parent[i][j] = (i, j - 1)
    path = """"
    i, j = n - 1, m - 1
    while i != 0 or j != 0:
        if parent[i][j] is None:
            break
        pi, pj = parent[i][j]
        if pi == i - 1:
            path = ""D"" + path
        else:
            path = ""R"" + path
        i, j = pi, pj
    return dp[n - 1][m - 1], path"
36,"def turtle_dp_generator(grid):
    n = len(grid)
    m = len(grid[0]) if n > 0 else 0
    dp = [[float('inf')] * m for _ in range(n)]
    dp[0][0] = grid[0][0]
    def path_generator(i, j):
        if i == 0 and j == 0:
            yield """"
        else:
            if i > 0 and dp[i - 1][j] < dp[i][j - 1] if j > 0 else True:
                for p in path_generator(i - 1, j):
                    yield ""D"" + p
            elif j > 0:
                for p in path_generator(i, j - 1):
                    yield ""R"" + p
    for i in range(n):
        for j in range(m):
            if i > 0:
                dp[i][j] = min(dp[i][j], dp[i - 1][j] + grid[i][j])
            if j > 0:
                dp[i][j] = min(dp[i][j], dp[i][j - 1] + grid[i][j])
    return dp[n - 1][m - 1], next(path_generator(n - 1, m - 1))"
37,"from functools import reduce
def turtle_dp_reduce(matrix):
    n = len(matrix)
    m = len(matrix[0]) if n > 0 else 0
    if n == 0:
        return 0, """"
    dp = reduce(lambda acc, i: acc + [reduce(lambda row_acc, j: row_acc + [row_acc[-1] + matrix[i][j] if j > 0 else matrix[i][j], []), range(m))], range(n), [[]])
    cost = dp[-1][-1]
    path = """"
    i, j = n - 1, m - 1
    while i > 0 or j > 0:
        if i > 0 and j > 0 and dp[i - 1][-1] <= dp[i][j - 1]:
            path = ""D"" + path
            i -= 1
        else:
            path = ""R"" + path
            j -= 1
    return cost, path"
38,"import numpy as np
def turtle_dp_numpy(cost_matrix):
    matrix = np.array(cost_matrix)
    n, m = matrix.shape
    dp = np.zeros((n, m), dtype=int)
    dp[0, 0] = matrix[0, 0]
    for i in range(n):
        for j in range(m):
            if i > 0 and j > 0:
                dp[i, j] = matrix[i, j] + min(dp[i - 1, j], dp[i, j - 1])
            elif i > 0:
                dp[i, j] = matrix[i, j] + dp[i - 1, j]
            elif j > 0:
                dp[i, j] = matrix[i, j] + dp[i, j - 1]
    path = """"
    i, j = n - 1, m - 1
    while i > 0 or j > 0:
        if i > 0 and j > 0 and dp[i - 1, j] <= dp[i, j - 1]:
            path = ""D"" + path
            i -= 1
        else:
            path = ""R"" + path
            j -= 1
    return dp[n - 1, m - 1], path"
